Wavelength_01 quinine_0.2mM_PL Wavelength_02 quinine_0.2mM_Abs
4.38461e+02 1.19408e+03 4.38461e+02 2.00000e-02
4.39242e+02 1.21380e+03 4.39242e+02 2.00000e-02
4.40023e+02 1.23266e+03 4.40023e+02 2.00000e-02
4.40804e+02 1.25067e+03 4.40804e+02 1.88889e-02
4.41585e+02 1.26789e+03 4.41585e+02 1.77778e-02
4.42366e+02 1.28395e+03 4.42366e+02 1.77778e-02
4.43146e+02 1.29971e+03 4.43146e+02 1.77778e-02
4.43927e+02 1.31502e+03 4.43927e+02 1.66667e-02
4.44707e+02 1.32960e+03 4.44707e+02 1.22222e-02
4.45488e+02 1.34293e+03 4.45488e+02 1.00000e-02
4.46268e+02 1.35630e+03 4.46268e+02 1.00000e-02
4.47048e+02 1.36932e+03 4.47048e+02 1.00000e-02
4.47828e+02 1.38104e+03 4.47828e+02 1.00000e-02
4.48609e+02 1.39233e+03 4.48609e+02 1.00000e-02
4.49389e+02 1.40214e+03 4.49389e+02 1.00000e-02
4.50169e+02 1.41188e+03 4.50169e+02 1.00000e-02
4.50948e+02 1.42116e+03 4.50948e+02 8.88889e-03
4.51728e+02 1.42879e+03 4.51728e+02 6.66667e-03
4.52508e+02 1.43562e+03 4.52508e+02 3.33333e-03
4.53288e+02 1.44294e+03 4.53288e+02 0.00000e+00
4.54067e+02 1.44939e+03 4.54067e+02 0.00000e+00
4.54847e+02 1.45584e+03 4.54847e+02 0.00000e+00
4.55626e+02 1.46106e+03 4.55626e+02 0.00000e+00
4.56406e+02 1.46542e+03 4.56406e+02 0.00000e+00
4.57185e+02 1.47001e+03 4.57185e+02 0.00000e+00
4.57964e+02 1.47330e+03 4.57964e+02 0.00000e+00
4.58743e+02 1.47619e+03 4.58743e+02 0.00000e+00
4.59522e+02 1.47776e+03 4.59522e+02 0.00000e+00
4.60301e+02 1.47795e+03 4.60301e+02 0.00000e+00
4.61080e+02 1.47819e+03 4.61080e+02 0.00000e+00
4.61859e+02 1.47844e+03 4.61859e+02 0.00000e+00
4.62638e+02 1.47820e+03 4.62638e+02 0.00000e+00
4.63417e+02 1.47800e+03 4.63417e+02 0.00000e+00
4.64195e+02 1.47637e+03 4.64195e+02 0.00000e+00
4.64974e+02 1.47546e+03 4.64974e+02 0.00000e+00
4.65752e+02 1.47377e+03 4.65752e+02 0.00000e+00
4.66531e+02 1.47124e+03 4.66531e+02 0.00000e+00
4.67309e+02 1.46769e+03 4.67309e+02 0.00000e+00
4.68087e+02 1.46292e+03 4.68087e+02 0.00000e+00
4.68865e+02 1.45783e+03 4.68865e+02 0.00000e+00
4.69644e+02 1.45192e+03 4.69644e+02 0.00000e+00
4.70422e+02 1.44500e+03 4.70422e+02 0.00000e+00
4.71200e+02 1.43808e+03 4.71200e+02 0.00000e+00
4.71977e+02 1.43019e+03 4.71977e+02 0.00000e+00
4.72755e+02 1.42208e+03 4.72755e+02 0.00000e+00
4.73533e+02 1.41341e+03 4.73533e+02 0.00000e+00
4.74311e+02 1.40434e+03 4.74311e+02 0.00000e+00
4.75088e+02 1.39544e+03 4.75088e+02 0.00000e+00
4.75866e+02 1.38588e+03 4.75866e+02 0.00000e+00
4.76643e+02 1.37623e+03 4.76643e+02 1.11111e-03
4.77420e+02 1.36689e+03 4.77420e+02 2.22222e-03
4.78198e+02 1.35762e+03 4.78198e+02 2.22222e-03
4.78975e+02 1.34811e+03 4.78975e+02 1.11111e-03
4.79752e+02 1.33808e+03 4.79752e+02 1.11111e-03
4.80529e+02 1.32733e+03 4.80529e+02 7.77778e-03
4.81306e+02 1.31642e+03 4.81306e+02 7.77778e-03
4.82083e+02 1.30569e+03 4.82083e+02 8.88889e-03
4.82860e+02 1.29401e+03 4.82860e+02 1.00000e-02
4.83637e+02 1.28187e+03 4.83637e+02 1.00000e-02
4.84413e+02 1.26934e+03 4.84413e+02 1.00000e-02
4.85190e+02 1.25711e+03 4.85190e+02 1.00000e-02
4.85966e+02 1.24505e+03 4.85966e+02 1.00000e-02
4.86743e+02 1.23270e+03 4.86743e+02 1.00000e-02
4.87519e+02 1.21974e+03 4.87519e+02 1.00000e-02
4.88295e+02 1.20684e+03 4.88295e+02 1.00000e-02
4.89072e+02 1.19383e+03 4.89072e+02 1.00000e-02
4.89848e+02 1.18126e+03 4.89848e+02 1.00000e-02
4.90624e+02 1.16770e+03 4.90624e+02 1.00000e-02
4.91400e+02 1.15409e+03 4.91400e+02 1.00000e-02
4.92176e+02 1.14076e+03 4.92176e+02 1.00000e-02
4.92952e+02 1.12703e+03 4.92952e+02 1.00000e-02
4.93727e+02 1.11318e+03 4.93727e+02 1.00000e-02
4.94503e+02 1.09914e+03 4.94503e+02 1.00000e-02
4.95279e+02 1.08421e+03 4.95279e+02 1.00000e-02
4.96054e+02 1.07067e+03 4.96054e+02 1.00000e-02
4.96830e+02 1.05655e+03 4.96830e+02 1.00000e-02
4.97605e+02 1.04220e+03 4.97605e+02 1.00000e-02
4.98380e+02 1.02783e+03 4.98380e+02 1.00000e-02
4.99156e+02 1.01355e+03 4.99156e+02 1.00000e-02
4.99931e+02 9.99591e+02 4.99931e+02 1.00000e-02
5.00706e+02 9.86041e+02 5.00706e+02 1.00000e-02
5.01481e+02 9.71981e+02 5.01481e+02 1.00000e-02
5.02256e+02 9.58158e+02 5.02256e+02 1.00000e-02
5.03031e+02 9.44243e+02 5.03031e+02 1.00000e-02
5.03805e+02 9.31071e+02 5.03805e+02 1.00000e-02
5.04580e+02 9.18212e+02 5.04580e+02 1.00000e-02
5.05355e+02 9.05254e+02 5.05355e+02 1.00000e-02
5.06129e+02 8.92193e+02 5.06129e+02 1.00000e-02
5.06904e+02 8.78894e+02 5.06904e+02 1.22222e-02
5.07678e+02 8.66598e+02 5.07678e+02 1.33333e-02
5.08452e+02 8.54122e+02 5.08452e+02 1.33333e-02
5.09227e+02 8.41641e+02 5.09227e+02 1.11111e-02
5.10001e+02 8.28774e+02 5.10001e+02 1.11111e-02
5.10775e+02 8.16349e+02 5.10775e+02 1.33333e-02
5.11549e+02 8.04587e+02 5.11549e+02 1.88889e-02
5.12323e+02 7.92778e+02 5.12323e+02 1.77778e-02
5.13097e+02 7.80984e+02 5.13097e+02 1.66667e-02
5.13871e+02 7.69639e+02 5.13871e+02 1.88889e-02
5.14644e+02 7.57746e+02 5.14644e+02 1.88889e-02
5.15418e+02 7.46529e+02 5.15418e+02 2.00000e-02
5.16192e+02 7.34813e+02 5.16192e+02 2.00000e-02
5.16965e+02 7.23114e+02 5.16965e+02 2.00000e-02
5.17738e+02 7.11616e+02 5.17738e+02 2.00000e-02
5.18512e+02 6.99767e+02 5.18512e+02 2.00000e-02
5.19285e+02 6.88330e+02 5.19285e+02 2.00000e-02
5.20058e+02 6.77172e+02 5.20058e+02 2.00000e-02
5.20831e+02 6.65976e+02 5.20831e+02 2.00000e-02
5.21604e+02 6.54873e+02 5.21604e+02 2.00000e-02
5.22377e+02 6.43684e+02 5.22377e+02 2.00000e-02
5.23150e+02 6.32734e+02 5.23150e+02 2.00000e-02
5.23923e+02 6.21831e+02 5.23923e+02 2.00000e-02
5.24696e+02 6.10844e+02 5.24696e+02 2.00000e-02
5.25468e+02 6.00114e+02 5.25468e+02 2.00000e-02
5.26241e+02 5.89621e+02 5.26241e+02 2.00000e-02
5.27013e+02 5.79460e+02 5.27013e+02 2.00000e-02
5.27786e+02 5.69447e+02 5.27786e+02 2.00000e-02
5.28558e+02 5.59434e+02 5.28558e+02 2.00000e-02
5.29330e+02 5.49892e+02 5.29330e+02 2.00000e-02
5.30102e+02 5.40199e+02 5.30102e+02 2.00000e-02
5.30875e+02 5.30767e+02 5.30875e+02 2.00000e-02
5.31647e+02 5.21038e+02 5.31647e+02 2.11111e-02
5.32418e+02 5.11417e+02 5.32418e+02 2.88889e-02
5.33190e+02 5.02498e+02 5.33190e+02 3.00000e-02
