Wavelength_01 quinine_0.1mM_PL Wavelength_02 quinine_0.1mM_Abs
3.76531e+02 3.83444e+00 3.76531e+02 1.20000e-01
3.77318e+02 4.38556e+00 3.77318e+02 1.10000e-01
3.78105e+02 4.78667e+00 3.78105e+02 1.00000e-01
3.78891e+02 5.24111e+00 3.78891e+02 1.00000e-01
3.79678e+02 6.25000e+00 3.79678e+02 9.00000e-02
3.80464e+02 6.91889e+00 3.80464e+02 8.00000e-02
3.81251e+02 7.52667e+00 3.81251e+02 7.55556e-02
3.82037e+02 8.23444e+00 3.82037e+02 7.00000e-02
3.82823e+02 9.00556e+00 3.82823e+02 6.00000e-02
3.83609e+02 9.89778e+00 3.83609e+02 6.00000e-02
3.84395e+02 1.09589e+01 3.84395e+02 5.00000e-02
3.85181e+02 1.18456e+01 3.85181e+02 5.00000e-02
3.85967e+02 1.32556e+01 3.85967e+02 4.00000e-02
3.86753e+02 1.46389e+01 3.86753e+02 4.00000e-02
3.87539e+02 1.64033e+01 3.87539e+02 3.44444e-02
3.88325e+02 1.82433e+01 3.88325e+02 3.00000e-02
3.89110e+02 2.03744e+01 3.89110e+02 3.00000e-02
3.89896e+02 2.26489e+01 3.89896e+02 3.00000e-02
3.90682e+02 2.51378e+01 3.90682e+02 2.00000e-02
3.91467e+02 2.76789e+01 3.91467e+02 2.00000e-02
3.92252e+02 3.06278e+01 3.92252e+02 2.00000e-02
3.93038e+02 3.35489e+01 3.93038e+02 2.00000e-02
3.93823e+02 3.66367e+01 3.93823e+02 1.00000e-02
3.94608e+02 3.99911e+01 3.94608e+02 1.00000e-02
3.95393e+02 4.35756e+01 3.95393e+02 1.00000e-02
3.96178e+02 4.73933e+01 3.96178e+02 1.00000e-02
3.96963e+02 5.17100e+01 3.96963e+02 1.00000e-02
3.97748e+02 5.58067e+01 3.97748e+02 1.00000e-02
3.98533e+02 6.02433e+01 3.98533e+02 6.66667e-03
3.99318e+02 6.51078e+01 3.99318e+02 0.00000e+00
4.00102e+02 7.02622e+01 4.00102e+02 0.00000e+00
4.00887e+02 7.56778e+01 4.00887e+02 0.00000e+00
4.01671e+02 8.16778e+01 4.01671e+02 0.00000e+00
4.02456e+02 8.73156e+01 4.02456e+02 0.00000e+00
4.03240e+02 9.37256e+01 4.03240e+02 0.00000e+00
4.04025e+02 1.00354e+02 4.04025e+02 0.00000e+00
4.04809e+02 1.07136e+02 4.04809e+02 0.00000e+00
4.05593e+02 1.13988e+02 4.05593e+02 0.00000e+00
4.06377e+02 1.21101e+02 4.06377e+02 0.00000e+00
4.07161e+02 1.28463e+02 4.07161e+02 0.00000e+00
4.07945e+02 1.36362e+02 4.07945e+02 0.00000e+00
4.08729e+02 1.44196e+02 4.08729e+02 0.00000e+00
4.09513e+02 1.51956e+02 4.09513e+02 0.00000e+00
4.10296e+02 1.60524e+02 4.10296e+02 0.00000e+00
4.11080e+02 1.69228e+02 4.11080e+02 0.00000e+00
4.11863e+02 1.78172e+02 4.11863e+02 0.00000e+00
4.12647e+02 1.86739e+02 4.12647e+02 0.00000e+00
4.13430e+02 1.95820e+02 4.13430e+02 0.00000e+00
4.14214e+02 2.05257e+02 4.14214e+02 0.00000e+00
4.14997e+02 2.15021e+02 4.14997e+02 0.00000e+00
4.15780e+02 2.24402e+02 4.15780e+02 0.00000e+00
4.16563e+02 2.34014e+02 4.16563e+02 -1.11111e-03
4.17346e+02 2.43492e+02 4.17346e+02 -3.33333e-03
4.18129e+02 2.53292e+02 4.18129e+02 -2.22222e-03
4.18912e+02 2.63392e+02 4.18912e+02 -5.55556e-03
4.19695e+02 2.73241e+02 4.19695e+02 -4.44444e-03
4.20478e+02 2.83219e+02 4.20478e+02 -7.77778e-03
4.21261e+02 2.93548e+02 4.21261e+02 -8.88889e-03
4.22043e+02 3.04002e+02 4.22043e+02 -8.88889e-03
4.22826e+02 3.14454e+02 4.22826e+02 -8.88889e-03
4.23608e+02 3.24616e+02 4.23608e+02 -1.00000e-02
4.24391e+02 3.34556e+02 4.24391e+02 -1.11111e-03
4.25173e+02 3.44778e+02 4.25173e+02 -1.11111e-03
4.25955e+02 3.55181e+02 4.25955e+02 -1.11111e-03
4.26737e+02 3.65228e+02 4.26737e+02 -1.11111e-03
4.27520e+02 3.74899e+02 4.27520e+02 -1.11111e-03
4.28302e+02 3.84759e+02 4.28302e+02 -5.55556e-03
4.29084e+02 3.95153e+02 4.29084e+02 -5.55556e-03
4.29865e+02 4.05360e+02 4.29865e+02 -1.00000e-02
4.30647e+02 4.15706e+02 4.30647e+02 -1.00000e-02
4.31429e+02 4.25228e+02 4.31429e+02 -1.00000e-02
4.32211e+02 4.34806e+02 4.32211e+02 -1.00000e-02
4.32992e+02 4.44652e+02 4.32992e+02 -1.00000e-02
4.33774e+02 4.54266e+02 4.33774e+02 -1.00000e-02
4.34555e+02 4.63400e+02 4.34555e+02 -1.00000e-02
4.35337e+02 4.72279e+02 4.35337e+02 -1.00000e-02
4.36118e+02 4.80611e+02 4.36118e+02 -1.00000e-02
4.36899e+02 4.89094e+02 4.36899e+02 -1.00000e-02
4.37680e+02 4.97218e+02 4.37680e+02 -1.00000e-02
4.38461e+02 5.05390e+02 4.38461e+02 -8.88889e-03
4.39242e+02 5.13032e+02 4.39242e+02 -1.00000e-02
4.40023e+02 5.20647e+02 4.40023e+02 -1.00000e-02
4.40804e+02 5.28054e+02 4.40804e+02 -7.77778e-03
4.41585e+02 5.35333e+02 4.41585e+02 -1.00000e-02
4.42366e+02 5.42178e+02 4.42366e+02 -1.00000e-02
4.43146e+02 5.48913e+02 4.43146e+02 -1.00000e-02
4.43927e+02 5.55050e+02 4.43927e+02 -1.00000e-02
4.44707e+02 5.61003e+02 4.44707e+02 -1.00000e-02
4.45488e+02 5.66707e+02 4.45488e+02 -1.00000e-02
4.46268e+02 5.71843e+02 4.46268e+02 -1.00000e-02
4.47048e+02 5.76822e+02 4.47048e+02 -6.66667e-03
4.47828e+02 5.82118e+02 4.47828e+02 -3.33333e-03
4.48609e+02 5.86906e+02 4.48609e+02 -3.33333e-03
4.49389e+02 5.90973e+02 4.49389e+02 -5.55556e-03
4.50169e+02 5.95150e+02 4.50169e+02 -3.33333e-03
4.50948e+02 5.99338e+02 4.50948e+02 -3.33333e-03
4.51728e+02 6.03136e+02 4.51728e+02 -2.22222e-03
4.52508e+02 6.05879e+02 4.52508e+02 -4.44444e-03
4.53288e+02 6.08296e+02 4.53288e+02 -4.44444e-03
4.54067e+02 6.10666e+02 4.54067e+02 -2.22222e-03
4.54847e+02 6.12931e+02 4.54847e+02 -2.22222e-03
4.55626e+02 6.14923e+02 4.55626e+02 -2.22222e-03
4.56406e+02 6.16299e+02 4.56406e+02 -1.11111e-03
4.57185e+02 6.17242e+02 4.57185e+02 -1.11111e-03
4.57964e+02 6.18839e+02 4.57964e+02 -2.22222e-03
4.58743e+02 6.19937e+02 4.58743e+02 -4.44444e-03
4.59522e+02 6.20477e+02 4.59522e+02 -1.00000e-02
4.60301e+02 6.20854e+02 4.60301e+02 -8.88889e-03
4.61080e+02 6.21088e+02 4.61080e+02 -1.00000e-02
4.61859e+02 6.21066e+02 4.61859e+02 -1.00000e-02
4.62638e+02 6.21038e+02 4.62638e+02 -1.00000e-02
4.63417e+02 6.20268e+02 4.63417e+02 -1.00000e-02
4.64195e+02 6.19451e+02 4.64195e+02 -1.00000e-02
4.64974e+02 6.18378e+02 4.64974e+02 -8.88889e-03
4.65752e+02 6.17489e+02 4.65752e+02 -1.00000e-02
4.66531e+02 6.15484e+02 4.66531e+02 -1.00000e-02
4.67309e+02 6.13360e+02 4.67309e+02 -1.00000e-02
4.68087e+02 6.11271e+02 4.68087e+02 -1.00000e-02
4.68865e+02 6.09146e+02 4.68865e+02 -1.00000e-02
4.69644e+02 6.06366e+02 4.69644e+02 -7.77778e-03
4.70422e+02 6.03647e+02 4.70422e+02 -8.88889e-03
4.71200e+02 6.00176e+02 4.71200e+02 -7.77778e-03
4.71977e+02 5.97492e+02 4.71977e+02 -7.77778e-03
4.72755e+02 5.94398e+02 4.72755e+02 -7.77778e-03
4.73533e+02 5.90676e+02 4.73533e+02 -7.77778e-03
4.74311e+02 5.87186e+02 4.74311e+02 -8.88889e-03
4.75088e+02 5.83392e+02 4.75088e+02 -1.00000e-02
4.75866e+02 5.79530e+02 4.75866e+02 -1.00000e-02
4.76643e+02 5.75761e+02 4.76643e+02 -8.88889e-03
4.77420e+02 5.71178e+02 4.77420e+02 -1.00000e-02
4.78198e+02 5.66756e+02 4.78198e+02 -1.00000e-02
4.78975e+02 5.62847e+02 4.78975e+02 -1.00000e-02
