Wavelength_01 CsPbBr3_PL Wavelength_02 CsPbBr3_Abs Wavelength_03 CsPbI3_PL Wavelength_04 CsPbI3_Abs
2.64895e+02 7.84444e-01 2.64895e+02 4.42222e-01 2.64895e+02 2.00000e-02 2.64895e+02 5.60000e-01
2.65691e+02 6.90000e-01 2.65691e+02 4.61111e-01 2.65691e+02 -9.66667e-02 2.65691e+02 5.87778e-01
2.66488e+02 7.81111e-01 2.66488e+02 4.80000e-01 2.66488e+02 -1.06667e-01 2.66488e+02 6.10000e-01
2.67284e+02 5.88889e-01 2.67284e+02 5.00000e-01 2.67284e+02 -2.17778e-01 2.67284e+02 6.32222e-01
2.68081e+02 4.78889e-01 2.68081e+02 5.18889e-01 2.68081e+02 -1.50000e-01 2.68081e+02 6.54444e-01
2.68877e+02 1.75556e-01 2.68877e+02 5.35556e-01 2.68877e+02 -4.16667e-01 2.68877e+02 6.75556e-01
2.69673e+02 2.44444e-02 2.69673e+02 5.51111e-01 2.69673e+02 -5.43333e-01 2.69673e+02 6.97778e-01
2.70469e+02 3.25556e-01 2.70469e+02 5.68889e-01 2.70469e+02 -3.47778e-01 2.70469e+02 7.16667e-01
2.71265e+02 3.94444e-01 2.71265e+02 5.87778e-01 2.71265e+02 -2.32222e-01 2.71265e+02 7.38889e-01
2.72062e+02 3.68889e-01 2.72062e+02 6.05556e-01 2.72062e+02 -1.14444e-01 2.72062e+02 7.62222e-01
2.72857e+02 3.92222e-01 2.72857e+02 6.22222e-01 2.72857e+02 -6.66667e-02 2.72857e+02 7.86667e-01
2.73653e+02 5.35556e-01 2.73653e+02 6.42222e-01 2.73653e+02 -4.44444e-03 2.73653e+02 8.10000e-01
2.74449e+02 6.87778e-01 2.74449e+02 6.58889e-01 2.74449e+02 1.21111e-01 2.74449e+02 8.35556e-01
2.75245e+02 7.84444e-01 2.75245e+02 6.78889e-01 2.75245e+02 2.03333e-01 2.75245e+02 8.61111e-01
2.76041e+02 4.43333e-01 2.76041e+02 7.03333e-01 2.76041e+02 -4.55556e-02 2.76041e+02 8.93333e-01
2.76836e+02 3.38889e-01 2.76836e+02 7.42222e-01 2.76836e+02 -1.32222e-01 2.76836e+02 9.40000e-01
2.77632e+02 9.66667e-02 2.77632e+02 7.95556e-01 2.77632e+02 -4.11111e-01 2.77632e+02 1.00000e+00
2.78427e+02 -2.66667e-02 2.78427e+02 8.65556e-01 2.78427e+02 -4.50000e-01 2.78427e+02 1.08111e+00
2.79223e+02 -1.83333e-01 2.79223e+02 9.44444e-01 2.79223e+02 -6.52222e-01 2.79223e+02 1.16889e+00
2.80018e+02 -2.43333e-01 2.80018e+02 1.02444e+00 2.80018e+02 -7.54444e-01 2.80018e+02 1.26111e+00
2.80813e+02 -1.48889e-01 2.80813e+02 1.10333e+00 2.80813e+02 -6.88889e-01 2.80813e+02 1.35000e+00
2.81609e+02 2.11111e-02 2.81609e+02 1.18222e+00 2.81609e+02 -4.61111e-01 2.81609e+02 1.44000e+00
2.82404e+02 -6.44444e-02 2.82404e+02 1.25444e+00 2.82404e+02 -6.08889e-01 2.82404e+02 1.52667e+00
2.83199e+02 1.44444e-02 2.83199e+02 1.32333e+00 2.83199e+02 -4.93333e-01 2.83199e+02 1.61000e+00
2.83994e+02 -3.33333e-03 2.83994e+02 1.38333e+00 2.83994e+02 -6.08889e-01 2.83994e+02 1.68333e+00
2.84789e+02 -5.55556e-02 2.84789e+02 1.43333e+00 2.84789e+02 -5.38889e-01 2.84789e+02 1.75222e+00
2.85584e+02 -1.14444e-01 2.85584e+02 1.47333e+00 2.85584e+02 -4.68889e-01 2.85584e+02 1.81333e+00
2.86379e+02 -1.73333e-01 2.86379e+02 1.51111e+00 2.86379e+02 -4.65556e-01 2.86379e+02 1.87111e+00
2.87173e+02 -2.45556e-01 2.87173e+02 1.53444e+00 2.87173e+02 -5.71111e-01 2.87173e+02 1.92000e+00
2.87968e+02 -1.22222e-01 2.87968e+02 1.55333e+00 2.87968e+02 -4.73333e-01 2.87968e+02 1.96222e+00
2.88763e+02 8.22222e-02 2.88763e+02 1.56333e+00 2.88763e+02 -3.33333e-01 2.88763e+02 2.00111e+00
2.89557e+02 -7.44444e-02 2.89557e+02 1.57111e+00 2.89557e+02 -3.57778e-01 2.89557e+02 2.03667e+00
2.90352e+02 -1.44444e-01 2.90352e+02 1.57111e+00 2.90352e+02 -5.62222e-01 2.90352e+02 2.07111e+00
2.91146e+02 1.55556e-02 2.91146e+02 1.56667e+00 2.91146e+02 -4.44444e-01 2.91146e+02 2.10333e+00
2.91940e+02 1.10000e-01 2.91940e+02 1.55778e+00 2.91940e+02 -4.45556e-01 2.91940e+02 2.13556e+00
