x_CsPbBr_dilute_00 CsPbBr_dilute_00_mean x_CsPbBr_dilute_02 CsPbBr_dilute_02_mean x_CsPbBr_dilute_04 CsPbBr_dilute_04_mean x_CsPbBr_dilute_08 CsPbBr_dilute_08_mean x_CsPbBr_dilute_16 CsPbBr_dilute_16_mean
2.87173e+02 -5.55556e-01 2.87173e+02 -3.51111e-01 2.87173e+02 -3.73333e-01 2.87173e+02 -3.61111e-01 2.87173e+02 -3.57778e-01
2.87968e+02 -5.20000e-01 2.87968e+02 -2.93333e-01 2.87968e+02 -2.74444e-01 2.87968e+02 -2.85556e-01 2.87968e+02 -3.35556e-01
2.88763e+02 -6.35556e-01 2.88763e+02 -4.68889e-01 2.88763e+02 -3.92222e-01 2.88763e+02 -4.25556e-01 2.88763e+02 -4.45556e-01
2.89557e+02 -4.61111e-01 2.89557e+02 -3.61111e-01 2.89557e+02 -3.15556e-01 2.89557e+02 -2.92222e-01 2.89557e+02 -3.17778e-01
2.90352e+02 -3.87778e-01 2.90352e+02 -3.13333e-01 2.90352e+02 -3.16667e-01 2.90352e+02 -2.20000e-01 2.90352e+02 -2.87778e-01
2.91146e+02 -2.42222e-01 2.91146e+02 -2.00000e-01 2.91146e+02 -2.06667e-01 2.91146e+02 -1.02222e-01 2.91146e+02 -1.67778e-01
2.91940e+02 -2.91111e-01 2.91940e+02 -2.18889e-01 2.91940e+02 -1.87778e-01 2.91940e+02 -1.13333e-01 2.91940e+02 -2.01111e-01
2.92735e+02 -3.76667e-01 2.92735e+02 -2.75556e-01 2.92735e+02 -2.53333e-01 2.92735e+02 -1.24444e-01 2.92735e+02 -2.07778e-01
2.93529e+02 -5.71111e-01 2.93529e+02 -4.27778e-01 2.93529e+02 -3.86667e-01 2.93529e+02 -3.04444e-01 2.93529e+02 -3.21111e-01
2.94323e+02 -4.96667e-01 2.94323e+02 -4.30000e-01 2.94323e+02 -2.56667e-01 2.94323e+02 -2.17778e-01 2.94323e+02 -2.11111e-01
2.95117e+02 -5.58889e-01 2.95117e+02 -4.82222e-01 2.95117e+02 -2.70000e-01 2.95117e+02 -1.81111e-01 2.95117e+02 -3.12222e-01
2.95911e+02 -5.16667e-01 2.95911e+02 -3.66667e-01 2.95911e+02 -1.08889e-01 2.95911e+02 -2.11111e-02 2.95911e+02 -1.60000e-01
2.96705e+02 -4.63333e-01 2.96705e+02 -2.47778e-01 2.96705e+02 -1.11111e-03 2.96705e+02 9.00000e-02 2.96705e+02 -2.44444e-02
