x_CsPbBr_dilute_00 CsPbBr_dilute_00_mean x_CsPbBr_dilute_02 CsPbBr_dilute_02_mean x_CsPbBr_dilute_04 CsPbBr_dilute_04_mean x_CsPbBr_dilute_08 CsPbBr_dilute_08_mean x_CsPbBr_dilute_16 CsPbBr_dilute_16_mean
3.00673e+02 6.64444e-01 3.00673e+02 5.21111e-01 3.00673e+02 3.34444e-01 3.00673e+02 1.85455e-01 3.00673e+02 1.11111e-01
3.01467e+02 6.91111e-01 3.01467e+02 5.42222e-01 3.01467e+02 3.42222e-01 3.01467e+02 1.88182e-01 3.01467e+02 1.11111e-01
3.02260e+02 7.18889e-01 3.02260e+02 5.61111e-01 3.02260e+02 3.52222e-01 3.02260e+02 1.93636e-01 3.02260e+02 1.11111e-01
3.03054e+02 7.50000e-01 3.03054e+02 5.85556e-01 3.03054e+02 3.63333e-01 3.03054e+02 1.94545e-01 3.03054e+02 1.11111e-01
3.03847e+02 7.83333e-01 3.03847e+02 6.12222e-01 3.03847e+02 3.71111e-01 3.03847e+02 1.96364e-01 3.03847e+02 1.12222e-01
3.04640e+02 8.13333e-01 3.04640e+02 6.32222e-01 3.04640e+02 3.80000e-01 3.04640e+02 2.00000e-01 3.04640e+02 1.12222e-01
3.05433e+02 8.45556e-01 3.05433e+02 6.54444e-01 3.05433e+02 3.86667e-01 3.05433e+02 2.00000e-01 3.05433e+02 1.11111e-01
3.06227e+02 8.72222e-01 3.06227e+02 6.71111e-01 3.06227e+02 3.90000e-01 3.06227e+02 2.00000e-01 3.06227e+02 1.13333e-01
3.07020e+02 9.01111e-01 3.07020e+02 6.88889e-01 3.07020e+02 3.91111e-01 3.07020e+02 2.00000e-01 3.07020e+02 1.10000e-01
3.07813e+02 9.22222e-01 3.07813e+02 7.01111e-01 3.07813e+02 3.91111e-01 3.07813e+02 2.00000e-01 3.07813e+02 1.10000e-01
3.08605e+02 9.38889e-01 3.08605e+02 7.05556e-01 3.08605e+02 3.90000e-01 3.08605e+02 1.98182e-01 3.08605e+02 1.10000e-01
3.09398e+02 9.61111e-01 3.09398e+02 7.13333e-01 3.09398e+02 3.91111e-01 3.09398e+02 1.96364e-01 3.09398e+02 1.10000e-01
3.10191e+02 9.82222e-01 3.10191e+02 7.21111e-01 3.10191e+02 3.90000e-01 3.10191e+02 1.94545e-01 3.10191e+02 1.10000e-01
3.10984e+02 9.97778e-01 3.10984e+02 7.27778e-01 3.10984e+02 3.90000e-01 3.10984e+02 1.91818e-01 3.10984e+02 1.10000e-01
3.11776e+02 1.02111e+00 3.11776e+02 7.34444e-01 3.11776e+02 3.90000e-01 3.11776e+02 1.90000e-01 3.11776e+02 1.10000e-01
3.12569e+02 1.04444e+00 3.12569e+02 7.45556e-01 3.12569e+02 3.90000e-01 3.12569e+02 1.90000e-01 3.12569e+02 1.10000e-01
3.13361e+02 1.07222e+00 3.13361e+02 7.55556e-01 3.13361e+02 3.90000e-01 3.13361e+02 1.90000e-01 3.13361e+02 1.10000e-01
3.14154e+02 1.09667e+00 3.14154e+02 7.61111e-01 3.14154e+02 3.90000e-01 3.14154e+02 1.90000e-01 3.14154e+02 1.10000e-01
3.14946e+02 1.11889e+00 3.14946e+02 7.66667e-01 3.14946e+02 3.86667e-01 3.14946e+02 1.90000e-01 3.14946e+02 1.10000e-01
3.15738e+02 1.14111e+00 3.15738e+02 7.71111e-01 3.15738e+02 3.87778e-01 3.15738e+02 1.90000e-01 3.15738e+02 1.10000e-01
3.16530e+02 1.15889e+00 3.16530e+02 7.74444e-01 3.16530e+02 3.83333e-01 3.16530e+02 1.88182e-01 3.16530e+02 1.08889e-01
3.17323e+02 1.17889e+00 3.17323e+02 7.75556e-01 3.17323e+02 3.80000e-01 3.17323e+02 1.86364e-01 3.17323e+02 1.08889e-01
3.18115e+02 1.19556e+00 3.18115e+02 7.78889e-01 3.18115e+02 3.80000e-01 3.18115e+02 1.83636e-01 3.18115e+02 1.08889e-01
3.18907e+02 1.21333e+00 3.18907e+02 7.80000e-01 3.18907e+02 3.80000e-01 3.18907e+02 1.80000e-01 3.18907e+02 1.06667e-01
3.19698e+02 1.22889e+00 3.19698e+02 7.81111e-01 3.19698e+02 3.80000e-01 3.19698e+02 1.80000e-01 3.19698e+02 1.03333e-01
3.20490e+02 1.24667e+00 3.20490e+02 7.86667e-01 3.20490e+02 3.80000e-01 3.20490e+02 1.80000e-01 3.20490e+02 1.04444e-01
3.21282e+02 1.26222e+00 3.21282e+02 7.87778e-01 3.21282e+02 3.80000e-01 3.21282e+02 1.80000e-01 3.21282e+02 1.03333e-01
3.22074e+02 1.28222e+00 3.22074e+02 7.90000e-01 3.22074e+02 3.80000e-01 3.22074e+02 1.80000e-01 3.22074e+02 1.03333e-01
3.22865e+02 1.30222e+00 3.22865e+02 7.90000e-01 3.22865e+02 3.80000e-01 3.22865e+02 1.80000e-01 3.22865e+02 1.03333e-01
3.23657e+02 1.31222e+00 3.23657e+02 7.96667e-01 3.23657e+02 3.80000e-01 3.23657e+02 1.80000e-01 3.23657e+02 1.05556e-01
3.24448e+02 1.32889e+00 3.24448e+02 7.96667e-01 3.24448e+02 3.78889e-01 3.24448e+02 1.80000e-01 3.24448e+02 1.05556e-01
3.25240e+02 1.34444e+00 3.25240e+02 7.98889e-01 3.25240e+02 3.78889e-01 3.25240e+02 1.80000e-01 3.25240e+02 1.05556e-01
3.26031e+02 1.35444e+00 3.26031e+02 7.98889e-01 3.26031e+02 3.78889e-01 3.26031e+02 1.80000e-01 3.26031e+02 1.07778e-01
3.26823e+02 1.36889e+00 3.26823e+02 7.98889e-01 3.26823e+02 3.77778e-01 3.26823e+02 1.80000e-01 3.26823e+02 1.07778e-01
