CsPb(OA)3 TOABr ZnCl2 OAm_Tol Peak_nm FWHM_nm PLQY OAm_frac Total R_time_sec Cl_Pb OA_frac total_rate_round R_time_round OAm_frac_round Cl_Pb_round
4.23499985e+01 1.27059998e+02 1.90589996e+02 0.00000000e+00 4.45950012e+02 2.01599998e+01 4.07999992e-01 2.99999993e-02 3.60000000e+02 8.10699997e+01 4.50000000e+00 7.99999982e-02 3.60000000e+02 8.10000000e+01 3.00000000e-02 4.50000000e+00
5.06199989e+01 1.51860001e+02 1.51860001e+02 5.65999985e+00 4.56820007e+02 2.15599995e+01 6.66000009e-01 2.99999993e-02 3.60000000e+02 8.10699997e+01 3.00000000e+00 9.00000036e-02 3.60000000e+02 8.10000000e+01 3.00000000e-02 3.00000000e+00
6.28600006e+01 1.88580002e+02 9.42900009e+01 1.42700005e+01 4.83619995e+02 2.30100002e+01 6.81999981e-01 2.99999993e-02 3.60000000e+02 8.10699997e+01 1.50000000e+00 1.19999997e-01 3.60000000e+02 8.10000000e+01 3.00000000e-02 1.50000000e+00
7.15000000e+01 2.14500000e+02 5.36300011e+01 2.03799992e+01 4.95859985e+02 2.51399994e+01 5.23000002e-01 2.99999993e-02 3.60000000e+02 8.10699997e+01 7.50000000e-01 1.29999995e-01 3.60000000e+02 8.10000000e+01 3.00000000e-02 7.50000000e-01
7.79300003e+01 2.33789993e+02 2.33799992e+01 2.48999996e+01 5.09269989e+02 2.29200001e+01 5.05999982e-01 2.99999993e-02 3.60000000e+02 8.10699997e+01 3.00000012e-01 1.40000001e-01 3.60000000e+02 8.10000000e+01 3.00000000e-02 3.00000000e-01
3.96199989e+01 1.18860001e+02 1.78289993e+02 2.32299995e+01 4.50700012e+02 2.29300003e+01 7.60999978e-01 5.00000007e-02 3.60000000e+02 8.10699997e+01 4.50000000e+00 7.00000003e-02 3.60000000e+02 8.10000000e+01 5.00000000e-02 4.50000000e+00
4.73199997e+01 1.41960007e+02 1.41960007e+02 2.87600002e+01 4.65640015e+02 2.46700001e+01 6.79000020e-01 5.00000007e-02 3.60000000e+02 8.10699997e+01 3.00000000e+00 9.00000036e-02 3.60000000e+02 8.10000000e+01 5.00000000e-02 3.00000000e+00
5.87599983e+01 1.76279999e+02 8.81399994e+01 3.68199997e+01 4.84329987e+02 2.76900005e+01 8.01999986e-01 5.00000007e-02 3.60000000e+02 8.10699997e+01 1.50000000e+00 1.09999999e-01 3.60000000e+02 8.10000000e+01 5.00000000e-02 1.50000000e+00
6.68499985e+01 2.00550003e+02 5.01399994e+01 4.24599991e+01 4.97929993e+02 2.60400009e+01 8.61999989e-01 5.00000007e-02 3.60000000e+02 8.10699997e+01 7.50000000e-01 1.19999997e-01 3.60000000e+02 8.10000000e+01 5.00000000e-02 7.50000000e-01
7.28499985e+01 2.18550003e+02 2.18600006e+01 4.67500000e+01 5.08519989e+02 2.31100006e+01 8.79999995e-01 5.00000007e-02 3.60000000e+02 8.10699997e+01 3.00000012e-01 1.29999995e-01 3.60000000e+02 8.10000000e+01 5.00000000e-02 3.00000000e-01
3.68499985e+01 1.10550003e+02 1.65830002e+02 4.67700005e+01 4.40920013e+02 4.35999985e+01 3.05000007e-01 7.00000003e-02 3.60000000e+02 8.10699997e+01 4.50000000e+00 7.00000003e-02 3.60000000e+02 8.10000000e+01 7.00000000e-02 4.50000000e+00
4.40099983e+01 1.32029999e+02 1.32029999e+02 5.19300003e+01 4.61440002e+02 6.08899994e+01 4.12999988e-01 7.00000003e-02 3.60000000e+02 8.10699997e+01 3.00000000e+00 7.99999982e-02 3.60000000e+02 8.10000000e+01 7.00000000e-02 3.00000000e+00
5.46699982e+01 1.64009995e+02 8.20100021e+01 5.93199997e+01 4.78100006e+02 4.07099991e+01 4.67999995e-01 7.00000003e-02 3.60000000e+02 8.10699997e+01 1.50000000e+00 1.00000001e-01 3.60000000e+02 8.10000000e+01 7.00000000e-02 1.50000000e+00
6.21899986e+01 1.86570007e+02 4.66399994e+01 6.45999985e+01 4.95489990e+02 3.14300003e+01 5.47999978e-01 7.00000003e-02 3.60000000e+02 8.10699997e+01 7.50000000e-01 1.19999997e-01 3.60000000e+02 8.10000000e+01 7.00000000e-02 7.50000000e-01
6.77900009e+01 2.03369995e+02 2.03400002e+01 6.85000000e+01 5.09700012e+02 2.50599995e+01 6.48999989e-01 7.00000003e-02 3.60000000e+02 8.10699997e+01 3.00000012e-01 1.29999995e-01 3.60000000e+02 8.10000000e+01 7.00000000e-02 3.00000000e-01
2.53099995e+01 7.59300003e+01 7.59300003e+01 2.82999992e+00 4.60459991e+02 2.08299999e+01 7.30000019e-01 2.99999993e-02 1.80000000e+02 1.62149994e+02 3.00000000e+00 9.00000036e-02 1.80000000e+02 1.62000000e+02 3.00000000e-02 3.00000000e+00
3.14300003e+01 9.42900009e+01 4.71500015e+01 7.13999987e+00 4.80299988e+02 2.16900005e+01 8.00000012e-01 2.99999993e-02 1.80009995e+02 1.62139999e+02 1.50000000e+00 1.19999997e-01 1.80000000e+02 1.62000000e+02 3.00000000e-02 1.50000000e+00
3.57500000e+01 1.07300003e+02 2.68099995e+01 1.01899996e+01 4.92679993e+02 2.21200008e+01 7.17000008e-01 2.99999993e-02 1.80050003e+02 1.62100006e+02 7.50000000e-01 1.29999995e-01 1.80000000e+02 1.62000000e+02 3.00000000e-02 7.50000000e-01
3.89599991e+01 1.16900002e+02 1.16899996e+01 1.24700003e+01 5.06309998e+02 2.16800003e+01 8.22000027e-01 2.99999993e-02 1.80020004e+02 1.62130005e+02 3.00000012e-01 1.40000001e-01 1.80000000e+02 1.62000000e+02 3.00000000e-02 3.00000000e-01
