Wavelength Dark Reference Sample Absorbance
3.78105e+02 2.03056e+01 7.59439e+03 7.66747e+03 -2.39783e-03
3.78891e+02 1.66389e+01 8.05517e+03 8.33492e+03 -1.16149e-02
3.79678e+02 1.66389e+01 8.57139e+03 9.03836e+03 -2.55297e-02
3.80464e+02 1.50833e+01 8.71461e+03 9.35969e+03 -3.15222e-02
3.81251e+02 1.70833e+01 8.80750e+03 9.68169e+03 -4.28410e-02
3.82037e+02 1.88611e+01 8.82372e+03 9.86236e+03 -4.61314e-02
3.82823e+02 1.68611e+01 8.93406e+03 1.01284e+04 -5.30920e-02
3.83609e+02 2.20833e+01 8.82706e+03 1.01999e+04 -5.92562e-02
3.84395e+02 1.89722e+01 8.71272e+03 1.01906e+04 -6.52113e-02
3.85181e+02 1.86389e+01 8.57050e+03 1.01065e+04 -7.05982e-02
3.85967e+02 1.65278e+01 8.37950e+03 1.00389e+04 -7.85066e-02
3.86753e+02 1.76389e+01 8.31350e+03 1.00825e+04 -8.37984e-02
3.87539e+02 2.27500e+01 8.38539e+03 1.03389e+04 -9.05140e-02
3.88325e+02 1.97500e+01 8.43039e+03 1.04746e+04 -9.32911e-02
3.89110e+02 1.93056e+01 8.41228e+03 1.05029e+04 -9.81703e-02
3.89896e+02 1.86389e+01 8.17339e+03 1.02805e+04 -1.01448e-01
3.90682e+02 2.00833e+01 8.20672e+03 1.04086e+04 -1.02266e-01
3.91467e+02 1.94167e+01 8.41328e+03 1.07557e+04 -1.09803e-01
3.92252e+02 1.58611e+01 8.71228e+03 1.12285e+04 -1.09684e-01
3.93038e+02 1.69722e+01 9.06250e+03 1.17347e+04 -1.11822e-01
3.93823e+02 1.79722e+01 8.96894e+03 1.16499e+04 -1.14087e-01
3.94608e+02 2.11944e+01 8.89417e+03 1.16204e+04 -1.15210e-01
3.95393e+02 1.75278e+01 9.14761e+03 1.20637e+04 -1.19993e-01
3.96178e+02 1.58611e+01 9.43328e+03 1.24697e+04 -1.19205e-01
3.96963e+02 1.76389e+01 9.94383e+03 1.31547e+04 -1.22097e-01
3.97748e+02 1.75278e+01 1.05287e+04 1.40146e+04 -1.23442e-01
