x_1E-4M 1E-4M_mean x_2E-4M 2E-4M_mean x_3E-4M 3E-4M_mean x_4E-4M 4E-4M_mean x_5E-4M 5E-4M_mean x_5E-3M 5E-3M_mean
2.56925145e+02 3.55658653e-01 2.56925145e+02 6.24092754e-01 2.56925145e+02 9.27497139e-01 2.56925145e+02 1.12721131e+00 2.56925145e+02 1.28841324e+00 2.56925145e+02 2.10154956e+00
2.57722406e+02 3.07402266e-01 2.57722406e+02 5.38958167e-01 2.57722406e+02 8.13553352e-01 2.57722406e+02 1.00820000e+00 2.57722406e+02 1.18114015e+00 2.57722406e+02 2.11493347e+00
2.58519599e+02 2.60897525e-01 2.58519599e+02 4.54577393e-01 2.58519599e+02 6.94131703e-01 2.58519599e+02 8.71901892e-01 2.58519599e+02 1.04176770e+00 2.58519599e+02 2.12639408e+00
2.59316725e+02 2.16527287e-01 2.59316725e+02 3.75976044e-01 2.59316725e+02 5.75560503e-01 2.59316725e+02 7.30266768e-01 2.59316725e+02 8.89102247e-01 2.59316725e+02 2.13164707e+00
2.60113784e+02 1.77185465e-01 2.60113784e+02 3.03861802e-01 2.60113784e+02 4.66103789e-01 2.60113784e+02 5.94095998e-01 2.60113784e+02 7.36476731e-01 2.60113784e+02 2.13669512e+00
2.60910774e+02 1.42812096e-01 2.60910774e+02 2.41088439e-01 2.60910774e+02 3.70352340e-01 2.60910774e+02 4.72197022e-01 2.60910774e+02 5.95217479e-01 2.60910774e+02 2.14123236e+00
2.61707697e+02 1.14947517e-01 2.61707697e+02 1.89713805e-01 2.61707697e+02 2.90114891e-01 2.61707697e+02 3.68744487e-01 2.61707697e+02 4.74247479e-01 2.61707697e+02 2.13643089e+00
2.62504553e+02 9.39197257e-02 2.62504553e+02 1.48787806e-01 2.62504553e+02 2.26308995e-01 2.62504553e+02 2.85721414e-01 2.62504553e+02 3.76088921e-01 2.62504553e+02 2.09169207e+00
2.63301340e+02 7.67178751e-02 2.63301340e+02 1.17520671e-01 2.63301340e+02 1.76512085e-01 2.63301340e+02 2.21084915e-01 2.63301340e+02 2.98922053e-01 2.63301340e+02 1.94878610e+00
2.64098060e+02 6.37776523e-02 2.64098060e+02 9.39367831e-02 2.64098060e+02 1.39070132e-01 2.64098060e+02 1.72428804e-01 2.64098060e+02 2.39987497e-01 2.64098060e+02 1.69856949e+00
2.64894712e+02 5.49442633e-02 2.64894712e+02 7.67808927e-02 2.64894712e+02 1.12920112e-01 2.64894712e+02 1.37288161e-01 2.64894712e+02 1.97733145e-01 2.64894712e+02 1.42016020e+00
2.65691296e+02 4.90533784e-02 2.65691296e+02 6.61033081e-02 2.65691296e+02 9.47326907e-02 2.65691296e+02 1.13686210e-01 2.65691296e+02 1.68212801e-01 2.65691296e+02 1.18106731e+00
2.66487813e+02 4.50270243e-02 2.66487813e+02 5.75904460e-02 2.66487813e+02 8.23399391e-02 2.66487813e+02 9.71669677e-02 2.66487813e+02 1.47567104e-01 2.66487813e+02 9.99521404e-01
2.67284261e+02 4.19870523e-02 2.67284261e+02 5.22220193e-02 2.67284261e+02 7.44465135e-02 2.67284261e+02 8.57105030e-02 2.67284261e+02 1.33911749e-01 2.67284261e+02 8.74926739e-01
2.68080642e+02 3.92324147e-02 2.68080642e+02 4.82843157e-02 2.68080642e+02 6.86077128e-02 2.68080642e+02 7.88074473e-02 2.68080642e+02 1.24874775e-01 2.68080642e+02 7.93760821e-01
2.68876955e+02 3.95082447e-02 2.68876955e+02 4.77409504e-02 2.68876955e+02 6.76114874e-02 2.68876955e+02 7.67539439e-02 2.68876955e+02 1.22152390e-01 2.68876955e+02 7.47631454e-01
2.69673200e+02 3.93979956e-02 2.69673200e+02 4.73818603e-02 2.69673200e+02 6.68311479e-02 2.69673200e+02 7.54010428e-02 2.69673200e+02 1.19341388e-01 2.69673200e+02 7.25792992e-01
2.70469376e+02 3.84187745e-02 2.70469376e+02 4.69514925e-02 2.70469376e+02 6.62918730e-02 2.70469376e+02 7.49214553e-02 2.70469376e+02 1.19228586e-01 2.70469376e+02 7.19644923e-01
2.71265485e+02 3.90307938e-02 2.71265485e+02 4.81667220e-02 2.71265485e+02 6.74625062e-02 2.71265485e+02 7.61212284e-02 2.71265485e+02 1.20413748e-01 2.71265485e+02 7.25299532e-01
2.72061526e+02 3.98344702e-02 2.72061526e+02 4.91965291e-02 2.72061526e+02 6.98379293e-02 2.72061526e+02 7.83362196e-02 2.72061526e+02 1.22388532e-01 2.72061526e+02 7.40837844e-01
2.72857499e+02 4.00912249e-02 2.72857499e+02 5.07615358e-02 2.72857499e+02 7.20099031e-02 2.72857499e+02 8.09770242e-02 2.72857499e+02 1.25145384e-01 2.72857499e+02 7.61367544e-01
2.73653404e+02 4.15326279e-02 2.73653404e+02 5.36450791e-02 2.73653404e+02 7.55170609e-02 2.73653404e+02 8.52367868e-02 2.73653404e+02 1.29044597e-01 2.73653404e+02 7.86891635e-01
2.74449240e+02 4.31961906e-02 2.74449240e+02 5.53414214e-02 2.74449240e+02 7.83123008e-02 2.74449240e+02 8.90521921e-02 2.74449240e+02 1.33045988e-01 2.74449240e+02 8.17053569e-01
2.75245009e+02 4.29017036e-02 2.75245009e+02 5.62130232e-02 2.75245009e+02 8.09190921e-02 2.75245009e+02 9.18678456e-02 2.75245009e+02 1.35195392e-01 2.75245009e+02 8.48141396e-01
2.76040709e+02 4.27062220e-02 2.76040709e+02 5.62513124e-02 2.76040709e+02 8.33383261e-02 2.76040709e+02 9.44192492e-02 2.76040709e+02 1.36900605e-01 2.76040709e+02 8.82023436e-01
2.76836341e+02 4.36670021e-02 2.76836341e+02 5.76006776e-02 2.76836341e+02 8.53475819e-02 2.76836341e+02 9.81299849e-02 2.76836341e+02 1.40386753e-01 2.76836341e+02 9.18526268e-01
2.77631905e+02 4.35198370e-02 2.77631905e+02 5.78873176e-02 2.77631905e+02 8.74151262e-02 2.77631905e+02 1.00614571e-01 2.77631905e+02 1.42285265e-01 2.77631905e+02 9.57100607e-01
2.78427401e+02 4.46658977e-02 2.78427401e+02 5.98699980e-02 2.78427401e+02 9.08419100e-02 2.78427401e+02 1.04716027e-01 2.78427401e+02 1.47274636e-01 2.78427401e+02 9.96096306e-01
2.79222829e+02 4.56382537e-02 2.79222829e+02 6.24552856e-02 2.79222829e+02 9.42116960e-02 2.79222829e+02 1.08161857e-01 2.79222829e+02 1.51544435e-01 2.79222829e+02 1.03693717e+00
2.80018188e+02 4.83929987e-02 2.80018188e+02 6.57411655e-02 2.80018188e+02 9.88184921e-02 2.80018188e+02 1.14073446e-01 2.80018188e+02 1.56893489e-01 2.80018188e+02 1.08148944e+00
2.80813479e+02 4.67184435e-02 2.80813479e+02 6.34007415e-02 2.80813479e+02 9.91237854e-02 2.80813479e+02 1.15617952e-01 2.80813479e+02 1.56287350e-01 2.80813479e+02 1.12755577e+00
2.81608701e+02 4.65621449e-02 2.81608701e+02 6.45933021e-02 2.81608701e+02 1.01837016e-01 2.81608701e+02 1.18899061e-01 2.81608701e+02 1.60504730e-01 2.81608701e+02 1.17725455e+00
2.82403855e+02 4.80351679e-02 2.82403855e+02 6.77454800e-02 2.82403855e+02 1.05561834e-01 2.82403855e+02 1.23939769e-01 2.82403855e+02 1.66152398e-01 2.82403855e+02 1.22566814e+00
2.83198941e+02 4.97074726e-02 2.83198941e+02 7.07273987e-02 2.83198941e+02 1.10737965e-01 2.83198941e+02 1.29645978e-01 2.83198941e+02 1.72433484e-01 2.83198941e+02 1.27872680e+00
2.83993958e+02 5.02371551e-02 2.83993958e+02 7.12185175e-02 2.83993958e+02 1.13021993e-01 2.83993958e+02 1.33330931e-01 2.83993958e+02 1.75813231e-01 2.83993958e+02 1.33107458e+00
2.84788907e+02 5.10498667e-02 2.84788907e+02 7.31009817e-02 2.84788907e+02 1.16029363e-01 2.84788907e+02 1.37554026e-01 2.84788907e+02 1.80411325e-01 2.84788907e+02 1.38529084e+00
